module,source_files,review_status,owner,reviewer,follow_up
apps/mobile/types,8,not_reviewed,unassigned,unassigned,QLT-02
apps/mobile/utils,5,not_reviewed,unassigned,unassigned,QLT-02
apps/vision/README.md,1,not_reviewed,unassigned,unassigned,QLT-02
apps/vision/app,7,not_reviewed,unassigned,unassigned,QLT-02
apps/vision/test_cov.py,1,not_reviewed,unassigned,unassigned,QLT-02
apps/vision/test_pipeline.py,1,not_reviewed,unassigned,unassigned,QLT-02
apps/vision/test_url_guard.py,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/README.md,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/app,195,not_reviewed,unassigned,unassigned,QLT-02
apps/web/components,96,not_reviewed,unassigned,unassigned,QLT-02
apps/web/contexts,4,not_reviewed,unassigned,unassigned,QLT-02
apps/web/global.d.ts,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/hooks,17,not_reviewed,unassigned,unassigned,QLT-02
apps/web/i18n,5,not_reviewed,unassigned,unassigned,QLT-02
apps/web/lib,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/next.config.ts,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/postcss.config.mjs,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/proxy.ts,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/services,30,not_reviewed,unassigned,unassigned,QLT-02
apps/web/store,3,not_reviewed,unassigned,unassigned,QLT-02
apps/web/test,34,not_reviewed,unassigned,unassigned,QLT-02
apps/web/types,31,not_reviewed,unassigned,unassigned,QLT-02
apps/web/utils,18,not_reviewed,unassigned,unassigned,QLT-02
apps/web/vitest-env.d.ts,1,not_reviewed,unassigned,unassigned,QLT-02
apps/web/vitest.config.ts,1,not_reviewed,unassigned,unassigned,QLT-02
doc,9,not_reviewed,unassigned,unassigned,QLT-02
doc/adr,7,not_reviewed,unassigned,unassigned,QLT-02
doc/roadmap,2,not_reviewed,unassigned,unassigned,QLT-02
packages/effect-parser,16,not_reviewed,unassigned,unassigned,QLT-02
packages/pokemon-dataset,2,not_reviewed,unassigned,unassigned,QLT-02
packages/scan-contract,1,not_reviewed,unassigned,unassigned,QLT-02
packages/ui,4,not_reviewed,unassigned,unassigned,QLT-02
scripts,3,not_reviewed,unassigned,unassigned,QLT-02
